176192780288726,Morphine,公牛,88,7140,2004-07-19
27632485057764,billy0mok,火箭.四川蓝鲸.皇马.尤文图斯,34,3263,2010-10-20
145294008218294,nba95174,湖人,42,4955,2011-09-21
132215034340098,虎扑用户453733,快船.北京鸭,6,245,2013-07-21
82116205577292,都撒大时代,湖人.浙江广厦猛狮,22,2990,2012-02-06
54760432038857,有一点点坏,热火.江苏龙.皇马,24,1470,2012-07-18
liujk,麦迪天神jk,凯尔特人,87,9909,2009-08-25
solo_24,秋千Solo,湖人.皇马,48,10496,2012-03-21
likeyouyou,rocketuu,火箭.皇马,81,10149,2012-02-17
yaotengyisheng,腰疼医生,湖人,49,4856,2012-09-29
allencp,艾伦出品,凯尔特人,38,5442,2010-12-26
158232794775971,体院地板流,四川蓝鲸,106,11079,2012-12-04
smq,shimingqiang,公牛.辽宁捷豹.宏运.AC米兰,18,2686,2008-09-07
251899982037181,A_BB,火箭.国际米兰,24,3274,2011-03-01
73508357149261,夜引弓,独行侠.广州龙狮,69,5665,2011-09-21
hfwodie,hfwodie,太阳.拜仁,69,13712,2009-10-26
251394944830888,tj8yangy,凯尔特人.天津金狮.泰达.斯旺西.毕尔巴鄂.尤文图斯.多特蒙德.波尔多,63,17061,2008-08-18
148354915009524,离人歌1226,快船.皇马,38,5175,2009-02-09
198309270218459,阳光充满心田,火箭.广东华南虎.曼联.皇马.AC米兰.拜仁.圣日耳曼,15,1361,2015-03-08
kelvinduan,djyfz,火箭.广东华南虎,15,2095,2011-05-03
72610617445620,南之南方,火箭.皇马,62,7141,2012-03-17
Junvoe,Junove,火箭,13,1404,2014-12-27
134123955344990,easeleo,雷霆,21,1837,2014-02-26
44442246875541,KDDurant,雷霆.江苏龙.苏宁.埃弗顿.马拉加.国际米兰.多特蒙德.雷恩,13,709,2013-01-25
dove-king,萌面鸽王,马刺,21,2157,2015-09-30
iameasy81,iameasy81,勇士,62,2549,2013-03-07
rivernorthpeople,蒲飞哈,76人,31,2243,2009-03-18
166020896702837,KalaPattar,湖人,32,4145,2009-01-20
